Rank,Player,Country Code,Country,Championship Points
1,Daniel Magda,CZE,Czech Republic,1600
2,Alberto Conti,ITA,Italy,1485
3,julius brunfeldt,FIN,Finland,1387
4,James C,NLD,Netherlands,1334
5,Yoann Barszezak,FRA,France,1320
6,Miloslav Poslední,CZE,Czech Republic,1237
7,Rune Heiremans,BEL,Belgium,1210
8,Rone Nielsen,DNK,Denmark,1192
9,Tord Reklev,NOR,Norway,1175
10,Ojvind Svinhufvud,FIN,Finland,1168
11,Kim Pobega,ITA,Italy,1140
12,Oscar Madsen,DNK,Denmark,1120
13,Stéphane Ivanoff,FRA,France,1082
14,alessandro cremascoli,ITA,Italy,1060
15,Christian Fontenot,DNK,Denmark,1040
16,Aarni Karjala,FIN,Finland,1035
17,Jelle van Kampen,NLD,Netherlands,1021
18,Daniel Powell,GBR,United Kingdom (Great Britain),1020
19,Magnus Pedersen,DNK,Denmark,1010
20,Leon Thiemann,DEU,Germany,1005
21,Christian D'Onofrio,ITA,Italy,990
22,Jonathan Sharpling,GBR,United Kingdom (Great Britain),990
23,Riccardo Coviello,ITA,Italy,970
24,Ethan Wilde,GBR,United Kingdom (Great Britain),965
25,Jan Hausmann,DEU,Germany,945
26,Matthew Houtput,BEL,Belgium,927
27,Simone Fiorito,ITA,Italy,920
28,Owyn Kamerman,NLD,Netherlands,900
29,Hermanni Hietalahti,FIN,Finland,894
30,Joah W,DEU,Germany,890
31,Justin Kempley,GBR,United Kingdom (Great Britain),880
32,Stefano Da Silva Fontinha Coelho,ITA,Italy,880
33,David Walerian Rzepka,DEU,Germany,874
34,Thomas Launay,FRA,France,865
35,Neddy Kosek,CZE,Czech Republic,861
36,Nathan Doyle,IRL,Ireland,860
37,Francesco Pasquale Caterino,ITA,Italy,860
38,Rose Gregson,GBR,United Kingdom (Great Britain),847
39,Patrik Bartošovič,CZE,Czech Republic,845
40,Jamie Hindley,GBR,United Kingdom (Great Britain),840
41,Mads Jensen,DNK,Denmark,835
42,Gino Pili,NLD,Netherlands,825
43,Filippo Colamorea,ITA,Italy,820
44,Alessio Cefola,ITA,Italy,815
45,Mateusz Laszkiewicz,POL,Poland,815
46,harvey scheinman,GBR,United Kingdom (Great Britain),810
47,Simone Canziani,ITA,Italy,807
48,Anthony ARGENTE,FRA,France,805
49,VIANNEY LEROY,FRA,France,805
50,ZapdosTCG,BEL,Belgium,800
51,Sitschgu,CHE,Switzerland,799
52,Thomas Jones,GBR,United Kingdom (Great Britain),797
53,Brennan Kamerman,NLD,Netherlands,784
54,Bryan de Vries,NLD,Netherlands,783
55,Bert Wolters,NLD,Netherlands,779
56,Simone Lasaponara,ITA,Italy,774
57,fabrizio Tallone,ITA,Italy,773
58,Alberto Benvenga,ITA,Italy,770
59,Sergio Ravelli,ITA,Italy,770
60,Glenn Bauwens,BEL,Belgium,769
61,jari honraedt,BEL,Belgium,765
62,Janek Jagiełło,POL,Poland,765
63,Drew Stephenson,GBR,United Kingdom (Great Britain),765
64,Pedro Vicêncio,PRT,Portugal,765
65,fabien pujol,FRA,France,762
66,demetris eaton,GBR,United Kingdom (Great Britain),762
67,Joshua Bond,GBR,United Kingdom (Great Britain),760
68,DrZorat,ITA,Italy,760
69,Bo Vinke,NLD,Netherlands,759
70,clement c,FRA,France,759
71,Nicholas Forsinetti,ITA,Italy,757
72,Mathias Bøcker Jakobsen,DNK,Denmark,756
73,Ondrej Skubal,CZE,Czech Republic,754
74,Niklaus Christen,CHE,Switzerland,752
75,Vincent Fatunz,DEU,Germany,747
76,Thomas D,FRA,France,745
77,Bas Juffer,NLD,Netherlands,745
78,Koen M,NLD,Netherlands,745
79,Oscar Rivas,ESP,Spain,744
80,Javier Tengo Jofre,ESP,Spain,740
81,Arthur VINCENT,FRA,France,740
82,Joshua B,DEU,Germany,730
83,Alex Rutowicz,POL,Poland,730
84,StolcoKeram,SVK,Slovakia (Slovak Republic),730
85,Konsta Kallama,FIN,Finland,729
86,Finn Bakewell,GBR,United Kingdom (Great Britain),725
87,Kristian Hodas,SVK,Slovakia (Slovak Republic),725
87,Michael C,ITA,Italy,725
89,Atilla G,NLD,Netherlands,725
90,Miłosz Dyrlica,POL,Poland,725
91,Sander Wojcik,NLD,Netherlands,724
92,Dario scarnò,ITA,Italy,720
93,Pedro Eugenio Torres,ESP,Spain,720
94,Alex Bortolini,ITA,Italy,720
95,James de Boer,GBR,United Kingdom (Great Britain),720
96,Victor ZHAO,FRA,France,719
97,Mathias Cohen-Solal,FRA,France,719
98,Toby Clark,GBR,United Kingdom (Great Britain),717
99,Jan Schäfer,DEU,Germany,717
100,Bernard Kościk,POL,Poland,715
101,Bartosz Bialik,POL,Poland,715
102,Nofoume B,FRA,France,715
103,Nico Alabas,DEU,Germany,715
104,Robin Schulz,DEU,Germany,713
105,Nicolai Stiborg,DNK,Denmark,712
106,Brent Coosemans,BEL,Belgium,710
107,Jesper Eriksen,DNK,Denmark,707
108,Alessandro Bax,ITA,Italy,705
109,Kai Wainwright,GBR,United Kingdom (Great Britain),705
110,Nina E,DEU,Germany,705
111,Joshua Galys,DEU,Germany,705
112,heddi B,FRA,France,705
113,Nicolas D,DEU,Germany,705
114,Piotr Matlinski,POL,Poland,704
115,Michael Hunter,IRL,Ireland,702
116,Denis Provázek,CZE,Czech Republic,702
117,Lewis Roach,GBR,United Kingdom (Great Britain),702
118,Anthony Blanchard,FRA,France,700
119,Maciek Chojnacki,POL,Poland,700
120,Antoine Boulay,FRA,France,700
121,Jack Gregory-Campbell,GBR,United Kingdom (Great Britain),694
122,Ashley Richards,GBR,United Kingdom (Great Britain),690
123,Stephen Law,GBR,United Kingdom (Great Britain),690
124,Nino Anderluh,SVN,Slovenia,690
125,david marel,CZE,Czech Republic,690
126,Eemeli Reijonen,FIN,Finland,690
127,Edwyn Mesman,NLD,Netherlands,687
128,Lizzie willet,DNK,Denmark,685
129,Juho Kallama,FIN,Finland,685
130,Marijn Van Duivenboden,NLD,Netherlands,685
131,Luke Parkes,GBR,United Kingdom (Great Britain),685
132,Elmar Tresp,DEU,Germany,684
133,Matěj Nesvadba,CZE,Czech Republic,682
134,nersman,DEU,Germany,680
135,Gauthier Vesseron,FRA,France,680
136,Lewis Beck,GBR,United Kingdom (Great Britain),680
137,Julius Mo Krag,DNK,Denmark,680
138,Arthur Trutzschler,NLD,Netherlands,677
139,Benjamin M,NOR,Norway,669
140,Uffe A,DNK,Denmark,661
141,Carlo Antonio Del Vescovo,ITA,Italy,661
142,Hugo de Torres Palacios,ESP,Spain,660
143,Emanuele Sirini,ITA,Italy,660
144,Gioele R,DEU,Germany,660
145,Quentin MATERNAT,FRA,France,660
146,Julius Kerkis,FIN,Finland,660
147,Andrea Calciolari,ITA,Italy,660
148,Adam Hawkins,GBR,United Kingdom (Great Britain),660
149,Andrew Elliott,GBR,United Kingdom (Great Britain),654
150,CiuffLegend,ITA,Italy,652
151,Ashwin van Gool,NLD,Netherlands,649
152,Marc Torres,ESP,Spain,647
153,Liliana Imrichová,SVK,Slovakia (Slovak Republic),645
154,Jaden Berberich,DEU,Germany,645
155,Malthe Bogø,DNK,Denmark,644
156,Daniele Rosati,ITA,Italy,640
157,Finn Schleusner,DEU,Germany,640
158,Kevin Kitzig,DEU,Germany,640
159,Mauro Spanò,ITA,Italy,640
160,Tobias Gervin,IRL,Ireland,637
161,Yang Shi,FRA,France,637
162,Rasmus Wagner,DNK,Denmark,630
163,Fabio Spanò,ITA,Italy,630
164,Florian Giesa,DEU,Germany,630
165,Luke Kirkham,GBR,United Kingdom (Great Britain),622
166,Ilya Kornilov,FIN,Finland,620
167,Lennert De Clercq,BEL,Belgium,617
168,alp Ehliz,DEU,Germany,612
169,Lukasz Gziut,IMN,Isle of Man,611
170,Ali Salame,DEU,Germany,610
171,Nicolas Baumann,DEU,Germany,609
172,Paul Shail,GBR,United Kingdom (Great Britain),602
173,Schennez,ITA,Italy,600
174,tapio ikonen,FIN,Finland,599
175,El_Murphy,ITA,Italy,597
176,Stepan S,CZE,Czech Republic,597
177,Benjamin P,NLD,Netherlands,592
178,Jack Blyth,GBR,United Kingdom (Great Britain),589
179,Maxence d,FRA,France,589
180,Chris M,ITA,Italy,585
181,Giorgio Gatti,ITA,Italy,582
182,Joseph H,GBR,United Kingdom (Great Britain),580
183,Luigi Vezzoni,ITA,Italy,580
184,Ben Cook,GBR,United Kingdom (Great Britain),580
185,Chrisian Schrader,DEU,Germany,580
186,Andrew H,GBR,United Kingdom (Great Britain),580
187,Maximilian Müller,DEU,Germany,579
188,German Arribas,ESP,Spain,577
189,Benjamin Grover,GBR,United Kingdom (Great Britain),576
190,Luke Doran,GBR,United Kingdom (Great Britain),574
191,Mampfmaxo,DEU,Germany,569
192,Cian Rushe,IRL,Ireland,562
193,Vincent Marcus Munk,DNK,Denmark,562
194,Thibault Delahaye,FRA,France,561
195,Vincent JOUARE,FRA,France,560
196,Matteo Zappalá,ITA,Italy,560
197,Vo Tan Vuong N'guyen,FRA,France,560
198,Tom Hinz,DEU,Germany,557
199,Ruben van der Sluis,NLD,Netherlands,554
200,Shotaro MIYABE,FRA,France,553
201,César Carbajo García,ESP,Spain,551
202,Samuele Roma,ITA,Italy,550
203,Igor Nowotnik,GBR,United Kingdom (Great Britain),546
204,Rene Ess,DEU,Germany,545
205,vincenzoCIPO,ITA,Italy,545
206,Janus Wagner,DEU,Germany,542
207,Patryk Róg,POL,Poland,540
208,Vincenzo Cannata,ITA,Italy,540
209,cedric PAPORELLO,FRA,France,540
210,Alex Scopini,ITA,Italy,536
211,Leyton Hindle-Cain,GBR,United Kingdom (Great Britain),533
212,Marcin Ogórek,POL,Poland,532
213,Alex Northey,GBR,United Kingdom (Great Britain),530
214,Thibault D,BEL,Belgium,527
215,Dominik B,DEU,Germany,526
216,Enzo DUVAL,FRA,France,526
217,Caroline FERINO,FRA,France,522
218,Luuk den Toom,NLD,Netherlands,521
219,ward knuts,BEL,Belgium,520
220,Tobias Roberts,GBR,United Kingdom (Great Britain),520
221,Gilles Heyndrickx,BEL,Belgium,517
222,Paul Doherty,GBR,United Kingdom (Great Britain),515
223,Alessio Carmignani,ITA,Italy,515
224,alessandro frenda,ITA,Italy,515
225,Niccolò Genna,ITA,Italy,514
226,Julian S,DEU,Germany,514
227,Swordino,ITA,Italy,512
228,Quentin C,FRA,France,510
229,Daniel Brunsch,DEU,Germany,510
230,ValRad,FRA,France,510
231,Merlin Bresinski,SWE,Sweden,510
232,Florian MANSUY,FRA,France,510
233,Jamie Henderson,GBR,United Kingdom (Great Britain),509
234,Alex Dao,GBR,United Kingdom (Great Britain),509
235,Nephtys75,FRA,France,507
236,Steve Lawson,GBR,United Kingdom (Great Britain),507
237,Stephen Chan,GBR,United Kingdom (Great Britain),506
238,Lorenzo Bruno,ITA,Italy,505
239,Callum Griffiths,GBR,United Kingdom (Great Britain),504
240,Piotr Orleański,POL,Poland,503
241,Ivan Lopez Navarro,ESP,Spain,502
242,Elvis Caccin,ITA,Italy,500
243,Renaud LEVAIN,FRA,France,500
244,robotbuilder,GBR,United Kingdom (Great Britain),500
245,Dario Tosolini,ITA,Italy,500
245,SpicyOnigiri,ITA,Italy,500
247,Brandon Balfour,GBR,United Kingdom (Great Britain),500
248,Elia P,ITA,Italy,500
249,Friedrich Illbruck,DEU,Germany,500
250,Dylan Zeller,FRA,France,500
251,maddilis,ESP,Spain,500
252,Ludovic Orban,LUX,Luxembourg,499
253,Oliver Elwick,GBR,United Kingdom (Great Britain),497
254,Lucian Hargreaves,GBR,United Kingdom (Great Britain),495
255,Angelo Coralluzzo,ITA,Italy,494
256,Iago Losada,ESP,Spain,490
257,francesco parazzini,ITA,Italy,490
258,Johannes Forster,DEU,Germany,490
259,Guido M,DEU,Germany,487
260,Markus Schulze,DEU,Germany,484
261,Nico Sommerfeld,DEU,Germany,482
262,Jia-Hao Ma,NLD,Netherlands,481
263,Sebastian Uziuk,POL,Poland,480
264,Cem Kara,DEU,Germany,480
265,julien dallé,FRA,France,480
266,Fabio Battistella,ITA,Italy,480
267,Koen Smid,NLD,Netherlands,479
268,Charles Magnaye,ITA,Italy,479
269,Joseph Philip,GBR,United Kingdom (Great Britain),477
270,Sen Caubergh,BEL,Belgium,477
271,Mattia L,ITA,Italy,477
272,Mees Brenninkmeijer,NLD,Netherlands,476
273,Drakauf,FRA,France,472
274,Ewan W,GBR,United Kingdom (Great Britain),471
275,Björn R,DEU,Germany,471
276,Jake Gamblen,GBR,United Kingdom (Great Britain),471
277,Daniel Monticelli,ITA,Italy,470
278,Paulo Mimoso,PRT,Portugal,464
279,fabio lembo,ITA,Italy,464
280,Michał Mioduszewski,POL,Poland,464
281,goncalo ferreira,PRT,Portugal,464
282,Amer Bikic,SWE,Sweden,462
283,Krzysztof Figas,POL,Poland,462
284,Marcel C,DEU,Germany,462
285,Luca Miele,GBR,United Kingdom (Great Britain),461
286,David Rosse,FRA,France,460
287,Victor de Torres Palacios,ESP,Spain,460
288,jopekk,FRA,France,460
289,Patryk Gabryś,POL,Poland,460
290,Aleksi Jäntti,FIN,Finland,459
291,Jari Bonsee,NLD,Netherlands,459
292,Alex D,FRA,France,457
293,Raul Venturi,ITA,Italy,457
294,janielk jimenez,ESP,Spain,457
295,Paweł Radzikowski,POL,Poland,454
296,ULADZIMIR MAZALEUSKI,POL,Poland,454
297,Kian Blount,GBR,United Kingdom (Great Britain),453
298,Michal Grebenár,CZE,Czech Republic,452
299,Aaron Edwards,GBR,United Kingdom (Great Britain),451
300,PKMN_SkyBear,GRC,Greece,451
301,Mario Milano,BEL,Belgium,450
302,Simone Mariotti,ITA,Italy,450
303,Roberto Costanzo,FRA,France,449
304,Isaac Yu,GBR,United Kingdom (Great Britain),448
305,Giorgio Cancian,ITA,Italy,448
306,Antoine BOULLIN,FRA,France,447
307,Raifaisen1,DEU,Germany,446
308,alvaro bueno blanco,ESP,Spain,442
309,Rabah Zibouche,FRA,France,442
310,Alexander K,DEU,Germany,442
311,Jean-Philippe THAMMABOUTH,FRA,France,441
312,nicolò casti,ITA,Italy,440
313,Jack Culkin,GBR,United Kingdom (Great Britain),438
314,Ricki Madsen,DNK,Denmark,437
315,Jimmy Hoang,DNK,Denmark,437
316,Alexis Molineau,FRA,France,437
317,Jan-Patrick Strohmeier,DEU,Germany,436
318,Aurélien RITZLER,FRA,France,436
319,William Gracie,GBR,United Kingdom (Great Britain),435
320,Jaume Torrelles,ESP,Spain,435
321,Darran Messom,GBR,United Kingdom (Great Britain),434
322,Konstantin Shapkin,GBR,United Kingdom (Great Britain),434
323,Adam Denk,CZE,Czech Republic,433
324,Harry Dunn,GBR,United Kingdom (Great Britain),432
325,Dominik Fink,DEU,Germany,430
326,Nathan Hargreaves,GBR,United Kingdom (Great Britain),430
327,Jonathan Gorgos,DEU,Germany,429
328,niels van Ravenzwaaij,NLD,Netherlands,429
329,kootje,NLD,Netherlands,426
330,Aldra Carrillo,ESP,Spain,425
331,NaruMae,BEL,Belgium,424
332,Simran Sahota,GBR,United Kingdom (Great Britain),424
333,Caleb M,GBR,United Kingdom (Great Britain),424
334,honesto2121,GRC,Greece,422
335,Francesco Paolo Palumbo,ITA,Italy,422
336,Aimé Ducret,CHE,Switzerland,422
337,Dariusz Włodarski,POL,Poland,420
338,Mario Martín,ESP,Spain,420
339,Jack Pauling,GBR,United Kingdom (Great Britain),420
340,karl blake,GBR,United Kingdom (Great Britain),420
341,Michael Davies,GBR,United Kingdom (Great Britain),419
342,Gilbert McLaughlin,GBR,United Kingdom (Great Britain),419
343,samuele gnoli,ITA,Italy,418
344,Erik Bladh,SWE,Sweden,417
345,Emma Hagen,NOR,Norway,417
346,Enri Casas,ESP,Spain,415
347,fossilfish,GBR,United Kingdom (Great Britain),415
348,Matthew Rowberry,IMN,Isle of Man,414
349,Alex Frindt,SVK,Slovakia (Slovak Republic),414
350,Emilio Montoro Fernández,ESP,Spain,412
351,lennart timmers,NLD,Netherlands,412
352,Filippo N,ITA,Italy,412
353,Roberto Sánchez,ESP,Spain,412
354,Ryan Moorhouse,GBR,United Kingdom (Great Britain),412
355,Marius Hinderberger,DEU,Germany,411
355,Nikoline Pedersen,DNK,Denmark,411
357,ZorackTheX,PRT,Portugal,410
358,matteo Quoiani,ITA,Italy,410
359,Max Theeuwen,NLD,Netherlands,410
360,Kieran Rowe,GBR,United Kingdom (Great Britain),410
361,Filipe Saúde,PRT,Portugal,410
362,Gracjan Sass,POL,Poland,409
363,Raquel Hazim,ESP,Spain,408
364,Melanie v,NLD,Netherlands,408
365,Rudy Caparros,BEL,Belgium,408
366,Dennis Glath,DEU,Germany,407
367,Dominik Malicki,POL,Poland,407
368,Patrik Holler,CZE,Czech Republic,405
369,Friendlydragoni,GBR,United Kingdom (Great Britain),404
370,lewis cupoli,GBR,United Kingdom (Great Britain),403
371,Thomas Gulino,FRA,France,402
372,Dawid Andrzejewski,POL,Poland,401
373,Ciro Savarese,ITA,Italy,400
374,Joe Bates,GBR,United Kingdom (Great Britain),400
375,Alan Cattaneo,FRA,France,400
376,Shaon Sen,GBR,United Kingdom (Great Britain),400
377,Cristian Sarnataro,ITA,Italy,400
378,Ivan Finamore,ITA,Italy,400
379,nicky paradis,BEL,Belgium,399
380,Giacomo Tiraboschi,ITA,Italy,398
381,Jake Mallender,GBR,United Kingdom (Great Britain),397
382,Adiris M,DEU,Germany,397
383,Corentin METGE,FRA,France,397
384,Keau,FRA,France,396
385,Joe Bernard,GBR,United Kingdom (Great Britain),395
386,brentdegens,BEL,Belgium,394
386,Eric Hendrickson,DEU,Germany,394
388,Théo Merienne,FRA,France,392
389,Stevenmills,GBR,United Kingdom (Great Britain),392
390,Yeromy Ruiz Castellano,ESP,Spain,392
391,Alexander Deegener,DEU,Germany,390
392,Claudio Foglia,ITA,Italy,390
393,Łukasz Mazurkiewicz,POL,Poland,389
394,Marius Blumenthal,DEU,Germany,389
395,aleklfc83,POL,Poland,389
396,Weixi Yu,GBR,United Kingdom (Great Britain),387
397,PsychicClown,GBR,United Kingdom (Great Britain),387
398,Christoph K,DEU,Germany,387
399,SenorArkani,DEU,Germany,386
400,Dylan Vargas,ITA,Italy,384
401,Tobias Walther,DEU,Germany,384
402,Rebecca v,GBR,United Kingdom (Great Britain),384
403,Enrico Tomasini,ITA,Italy,382
404,Philipp Leciejewski,DEU,Germany,382
405,Antoine Betti,FRA,France,381
406,Miguel Moreno,ESP,Spain,380
407,Leon Rehberg,DEU,Germany,380
408,Ashley Baldry,GBR,United Kingdom (Great Britain),380
409,Zachary Bokhari,DEU,Germany,380
410,Kieren Reynolds,GBR,United Kingdom (Great Britain),379
411,Andrea Zamboni,ITA,Italy,377
412,Daniele Sergio del Rosso,ITA,Italy,376
413,teodor skjaeveland,NOR,Norway,376
414,Juri Pavlik,DEU,Germany,375
415,Cameron McDonald,GBR,United Kingdom (Great Britain),375
416,Marcus Munkholm,DNK,Denmark,374
417,Pascal Tillenberg,DEU,Germany,374
418,Kiss Krisztián,HUN,Hungary,374
419,Callum Roulson,GBR,United Kingdom (Great Britain),374
420,Thomas Williams,GBR,United Kingdom (Great Britain),374
421,Alejandro González Sánchez,ESP,Spain,374
422,CHRISTIAN GRAZIANO,ITA,Italy,373
423,Karol Blesak,SVK,Slovakia (Slovak Republic),372
424,max schlehaider,DEU,Germany,372
425,Arnaud S,FRA,France,372
426,Gabriel Pires,PRT,Portugal,372
427,Luke B,GBR,United Kingdom (Great Britain),372
428,Pearce Wilton,GBR,United Kingdom (Great Britain),372
429,Hammertimestone,NLD,Netherlands,371
430,Davide Parenti,ITA,Italy,370
431,Sulyman Aabkari,FRA,France,370
432,Daniel Watson,GBR,United Kingdom (Great Britain),370
433,Toby Woolner,GBR,United Kingdom (Great Britain),370
434,Andy Cheung,NOR,Norway,370
435,David Mathias,GBR,United Kingdom (Great Britain),370
436,Raúl Méndez,ESP,Spain,369
437,kurtis Broughton-King,GBR,United Kingdom (Great Britain),367
438,Maurizio Corimbi,DEU,Germany,367
439,Matteo Cavani,ITA,Italy,367
440,Marc Cabezas Catà,ESP,Spain,367
441,David Basterrechea Mateos,ESP,Spain,366
442,Artur H,DEU,Germany,366
443,Kevin Ponthieux,ITA,Italy,366
444,Benjamin Goodridge,GBR,United Kingdom (Great Britain),365
445,Tim Cox,GBR,United Kingdom (Great Britain),365
446,Eliot Liversidge,GBR,United Kingdom (Great Britain),364
447,Jan Fischer,DEU,Germany,364
448,Timo Mertens,DEU,Germany,363
449,Marc Badia,ESP,Spain,362
450,Natalia Balcer,POL,Poland,362
451,Simone Venticinque,ITA,Italy,361
452,Malaurie Goudard,FRA,France,361
453,Fabian Schlieckau,DEU,Germany,361
454,limoncino1999,ITA,Italy,360
455,Nicolas G,FRA,France,360
456,Marco Sánchez Rivera,ESP,Spain,360
457,Emanuele Mazzoleni,ITA,Italy,360
458,Gummie7,GBR,United Kingdom (Great Britain),360
459,Warre Haghedooren,BEL,Belgium,359
460,Francesco Bolognesi,ITA,Italy,359
461,Austin Byard,GBR,United Kingdom (Great Britain),359
462,Axl D,NLD,Netherlands,357
463,Robert Bell,GBR,United Kingdom (Great Britain),357
464,Manuel N,ESP,Spain,356
465,Alejandro Felices Puertolas,ESP,Spain,356
466,Alex Robertson,GBR,United Kingdom (Great Britain),356
467,Gioele Dell'Andrino,CHE,Switzerland,355
468,Callum Thomas,GBR,United Kingdom (Great Britain),355
469,Andrew Emerson,GBR,United Kingdom (Great Britain),354
470,Bartosz Pawlik,POL,Poland,354
471,Guillehue,ESP,Spain,354
472,Steven Mao,DEU,Germany,354
473,Tetsu Watanabe,ITA,Italy,354
474,Thomas Heijdemann,NLD,Netherlands,353
475,Max Hofmans,NLD,Netherlands,353
476,Axel PISCAGLIA,FRA,France,352
477,Che Demuynck,BEL,Belgium,352
478,Frank S,DEU,Germany,351
479,Alix Dufour,FRA,France,351
480,Jolen Lo-Arnoult,FRA,France,351
481,Matthew Clarke,GBR,United Kingdom (Great Britain),351
482,Clint V,GBR,United Kingdom (Great Britain),350
482,Thomas A,GBR,United Kingdom (Great Britain),350
484,Alessandro Arca,ITA,Italy,350
485,Francisco Toranzo,ESP,Spain,350
486,Nils M,CHE,Switzerland,350
487,Damian Wincenciak,POL,Poland,350
488,Damian G,POL,Poland,349
489,Jack Campbell,GBR,United Kingdom (Great Britain),349
490,Jianjun Liu,DEU,Germany,349
491,Keenan Grange,GBR,United Kingdom (Great Britain),348
492,Adrian Slez,SVK,Slovakia (Slovak Republic),347
493,rhys87antony,GBR,United Kingdom (Great Britain),347
494,Magnus Tidemann Markussen,NOR,Norway,347
495,Jonatan B,ESP,Spain,346
496,Lyder Iversen,NOR,Norway,346
497,Andreas Döring,DEU,Germany,345
498,Angelo De Domenico,ITA,Italy,345
499,Mateusz Mikulski,ITA,Italy,344
500,Laura Takeda,GBR,United Kingdom (Great Britain),344